dataset_version,parameter_set_id,check_name,module,table_name,passes_check,severity,notes,created_at,created_by_script
v0.1.2-pilot-per,baseline-pilot-v2,dataset_version_is_v0_1_2,governance,build_manifest,True,hard,Governance reads only frozen snapshot v0.1.2-pilot-per.,2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
v0.1.2-pilot-per,baseline-pilot-v2,pilot_subset_declared_PER,governance,dim_country,True,hard,Etapa 3A run_readiness applies only to pilot PER and is not an official baseline authorization.,2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
v0.1.2-pilot-per,baseline-pilot-v2,no_engine_results_computed,governance,src/ai_usp,True,hard,Script writes governance/calibration tables only; no economic result tables are computed.,2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
v0.1.2-pilot-per,baseline-pilot-v2,value_assignment_required_fields_complete,governance,value_assignment_table,True,hard,"Every scalar has source, unit, support, distribution, low/high, and audit_status.",2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
v0.1.2-pilot-per,baseline-pilot-v2,value_assignment_low_high_contains_baseline,governance,value_assignment_table,True,hard,All low <= baseline <= high checks pass.,2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
v0.1.2-pilot-per,baseline-pilot-v2,gap_aipi_overlap_avoided,double_counting,digital_gap_anchor,True,hard,Baseline gap remains neutral because no excluded non-AIPI indicator exists; overlapping ITU indicators are not used.,2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
v0.1.2-pilot-per,baseline-pilot-v2,gap_pilot_diagnostic_official_baseline_blocker,adoption_translation,value_assignment_table,True,robustness_only,PILOTO-DIAGNÓSTICO: neutral Gap is a favorable diagnostic convention only; official baseline is blocked until gap_index is built from indicators verified as excluded from AIPI.,2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
v0.1.2-pilot-per,baseline-pilot-v2,rst_fallback_registered,labor_share,value_assignment_table,True,soft,RST uses residualized AIPI human-capital fallback and is marked for author review.,2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
v0.1.2-pilot-per,baseline-pilot-v2,author_review_priors_flagged,governance,value_assignment_table,True,soft,Calibrated priors without direct Peru survey source are audit_status=registered_author_review.,2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
v0.1.2-pilot-per,baseline-pilot-v2,assumption_registry_complete_flag,governance,assumption_registry,True,hard,All Etapa 3A scalars are mirrored to assumption_registry/calibrated_parameter_registry/parameter_set_item.,2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
v0.1.2-pilot-per,baseline-pilot-v2,run_readiness_flag,governance,input_audit_report,True,hard,TRUE only for pilot pre-run governance; it does not authorize the official baseline or Etapa 3B without author review.,2026-07-08T01:42:42.405929+00:00,build_prerun_governance.py
